"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2024","18,400.0","18,500.0","18,730.0","18,371.0","0.03K","0.82%"
"10/23/2024","18,250.0","18,390.0","18,800.0","18,011.0","0.18K","0.28%"
"10/22/2024","18,199.0","17,600.0","19,000.0","17,600.0","0.14K","2.54%"
"10/21/2024","17,749.0","17,750.0","17,750.0","17,600.0","0.18K","1.39%"
"10/18/2024","17,506.0","17,500.0","17,700.0","17,431.0","0.05K","-0.70%"
"10/17/2024","17,630.0","17,630.0","17,630.0","17,630.0","0.02K","-0.02%"
"10/16/2024","17,633.0","17,624.0","17,650.0","17,362.1","0.08K","0.90%"
"10/15/2024","17,476.3","17,500.0","17,701.0","17,255.0","0.08K","0.73%"
"10/14/2024","17,350.0","17,502.0","17,688.9","17,200.0","0.06K","-1.48%"
"10/11/2024","17,610.0","17,700.5","17,800.0","17,550.0","0.05K","-0.51%"
"10/10/2024","17,700.0","17,970.0","17,995.0","17,602.0","0.18K","0.57%"
"10/09/2024","17,600.0","17,500.0","17,700.0","17,400.0","0.13K","-0.56%"
"10/08/2024","17,700.0","17,400.0","17,700.0","17,400.0","0.19K","1.84%"
"10/07/2024","17,380.0","17,600.0","17,600.0","17,200.0","0.29K","-0.19%"
"10/04/2024","17,413.0","17,590.0","17,590.0","17,400.0","0.11K","-0.50%"
"10/03/2024","17,500.0","17,484.0","17,501.0","17,401.1","0.15K","1.16%"
"10/02/2024","17,299.0","17,290.0","17,300.0","17,222.0","0.05K","0.17%"
"10/01/2024","17,270.0","17,300.0","17,300.0","17,000.0","0.04K","1.59%"
"09/30/2024","17,000.0","17,005.0","17,300.0","17,000.0","0.09K","-1.16%"
"09/27/2024","17,200.0","17,300.0","17,300.0","17,200.0","0.01K","0.06%"
"09/26/2024","17,190.0","17,405.0","17,405.0","17,052.0","0.23K","-0.92%"
"09/25/2024","17,350.0","17,400.0","17,424.0","17,200.0","0.20K","-0.28%"
"09/24/2024","17,399.0","17,251.0","17,817.0","17,250.0","0.13K","0.43%"
"09/23/2024","17,325.0","17,355.1","17,500.0","17,200.0","0.10K","-1.73%"
"09/20/2024","17,630.0","17,700.0","17,700.0","16,700.0","0.03K","0.74%"
"09/19/2024","17,500.0","17,888.0","17,888.0","17,416.0","0.04K","0.06%"
"09/18/2024","17,490.0","17,400.1","17,500.0","17,357.0","0.02K","-0.34%"
"09/16/2024","17,550.0","17,400.0","17,568.0","17,301.0","0.04K","0.06%"
"09/13/2024","17,540.0","17,500.0","17,546.0","17,358.0","0.02K","0.57%"
"09/12/2024","17,440.0","17,690.0","17,690.0","17,440.0","0.03K","0.28%"
"09/11/2024","17,392.0","17,400.0","17,472.5","17,305.0","0.02K","0.13%"
"09/10/2024","17,369.0","17,300.0","17,465.0","17,251.0","0.04K","0.40%"
"09/09/2024","17,300.0","17,601.0","17,601.0","17,208.0","0.05K","0.00%"
"09/06/2024","17,300.0","17,325.0","17,599.9","17,300.0","0.18K","-1.14%"
"09/05/2024","17,500.0","17,500.0","17,595.0","17,302.1","0.03K","-0.28%"
"09/04/2024","17,550.0","16,909.0","17,620.0","16,909.0","0.02K","0.75%"
"09/03/2024","17,420.0","17,600.0","17,600.0","17,411.0","0.03K","-1.02%"
"09/02/2024","17,599.0","17,500.0","17,600.0","17,400.0","0.05K","0.57%"
"08/30/2024","17,498.9","17,305.0","17,798.8","17,300.0","0.04K","-0.47%"
"08/29/2024","17,581.0","17,380.5","17,899.0","17,380.5","0.03K","1.39%"
